,Time,Tweet,Favorites,Retweets,Sentiment,keyPhrases
0,2019-06-17 05:40:17,A BEGINNERS GUIDE TO CLIMATE CHANGE https://t.co/ERiYnIcZZI via @makeandmendyear #SustainableLifestyle https://t.co/Dph8pW5nco,0,0,0.5,"['CLIMATE CHANGE', 'makeandmendyear', 'BEGINNERS GUIDE', 'SustainableLifestyle']"
1,2019-06-17 04:31:15,Duces-\n.\n.\n.\n\n.\n.\n#zag1 \n#healthylifestyle \n#sustainablelifestyle \n#kernactivetransportation https://t.co/lAIvJPAMq3,0,0,0.17250922322273254,"['sustainablelifestyle', 'healthylifestyle', 'zag1', 'kernactivetransportation', 'Duces-']"
2,2019-06-17 04:26:25,#zag1 \n.\n.\n.\n.\n.\n.\n.\n.\n#fathersday2019 \n#healthylifestyle \n#sustainablelifestyle \n#bakersfieldcalifornia \n#mtb https://t.co/K6dT7oceR2,1,0,0.24423745274543762,"['sustainablelifestyle', 'bakersfieldcalifornia', 'healthylifestyle', 'fathersday2019', 'mtb', 'zag1']"
3,2019-06-17 04:22:48,#fathersday2919 #zag1 \n#bakersfieldcalifornia \n#sustainablelifestyle \n#healthylifestyle \n#tehachapimountains #mtb https://t.co/KqEvK5nv3Q,1,0,0.24513858556747437,"['healthylifestyle', 'bakersfieldcalifornia', 'sustainablelifestyle', 'zag1', 'tehachapimountains', 'mtb', 'fathersday2919']"
4,2019-06-17 03:14:38,RT @lozantonenko: Natural diffuser blends are easy to make &amp; can work wonders for your health. Find out more about how to make blends or bu,0,1,0.9462611675262451,"['Natural diffuser blends', 'lozantonenko', 'RT', 'amp', 'wonders', 'health', 'bu']"
5,2019-06-17 02:19:49,Flora-\n.\n.\n.\n.\n.\n#zag1 \n#healthylifestyle \n#sustainablelifestyle \n#bakersfieldcalifornia \n#kernactivetransportation https://t.co/GRJTZh2N8y,0,0,0.2398330271244049,"['sustainablelifestyle', 'bakersfieldcalifornia', 'healthylifestyle', 'zag1', 'kernactivetransportation', 'Flora-']"
6,2019-06-17 02:00:23,Natural diffuser blends are easy to make &amp; can work wonders for your health. Find out more about how to make blends https://t.co/axcC7IVfhN,1,1,0.952505350112915,"['Natural diffuser blends', 'amp', 'wonders', 'health']"
7,2019-06-16 17:00:15,3 Tips For Living a More Sustainable Lifestyle https://t.co/HA6nhtE7GU #tips #living #sustainablelifestyle,0,0,0.5,"['Tips', 'living', 'Sustainable Lifestyle', 'sustainablelifestyle']"
8,2019-06-16 16:26:10,"RT @PatVillaceran: https://t.co/Ya7i0H4LwN - On #menthealth, #sustainablelifestyle, and #socialmedia.\n\nThanks for the recommendation @Micha",0,1,0.729938268661499,"['PatVillaceran', 'recommendation', 'menthealth', 'socialmedia', 'sustainablelifestyle', 'RT', 'Micha']"
9,2019-06-16 11:22:50,RT @lozantonenko:  You have the power to create the best life possible for yourself and your family  \n\n#healthcoach #coach #lifesty,0,1,0.9411737322807312,"['power', 'family', 'best life possible', 'healthcoach', 'lozantonenko', 'lifesty', 'RT']"
10,2019-06-16 09:00:30, You have the power to create the best life possible for yourself and your family  \n\n#healthcoach #coach https://t.co/VP3JOIZoEh,2,1,0.9436666965484619,"['family', 'best life possible', 'power', 'healthcoach']"
11,2019-06-16 01:40:21,RT @ZacAllyn: Jump in the fire-\n.\n.\n.\n.\n.\n.\n#zag1 \n#cycling \n#bicycle \n#healthylifestyle \n#sustainablelifestyle \n#bakersfieldcalifornia \n#k,0,1,0.7030484676361084,"['sustainablelifestyle', 'bicycle', 'healthylifestyle', 'cycling', 'bakersfieldcalifornia', 'zag1', 'RT', 'ZacAllyn']"
12,2019-06-16 01:32:10,Jump in the fire-\n.\n.\n.\n.\n.\n.\n#zag1 \n#cycling \n#bicycle \n#healthylifestyle \n#sustainablelifestyle https://t.co/ApB4kALCf3,0,1,0.5,"['bicycle', 'cycling', 'healthylifestyle', 'zag1', 'sustainablelifestyle']"
13,2019-06-15 19:32:04,"You can never have enough t-shirts, especially if it's vegan made from 100% organic cotton Only at https://t.co/8ZhHcv5cOI",0,0,0.5,"['vegan', 'organic cotton', 't-shirts']"
14,2019-06-15 14:01:21,Jacob and his nephew Nolan-\n.\n.\n.\n.\n.\n#babies #sustainablelifestyle #healthylifestyle #happy #happybaby @ Bakersfie https://t.co/OYqHvtrYg7,0,0,0.9631186127662659,"['babies', 'healthylifestyle', 'sustainablelifestyle', 'happybaby', 'nephew Nolan-', 'Bakersfie', 'Jacob']"
15,2019-06-15 06:10:10,Excited to be a part of #HotelClarksAmer #FarmersMarketJaipur this #Sunday and looking forward to seeing you all ou https://t.co/aSfp6SZhCD,0,0,0.9904277324676514,"['HotelClarksAmer', 'FarmersMarketJaipur', 'ou']"
16,2019-06-15 01:38:50,Enjoy your tea time #skipplasticstraws #savenature #ecofriendly #environmentfriendly #sustainablelifestyle https://t.co/rzBlnzQJHS,0,0,0.9970127940177917,"['savenature', 'skipplasticstraws', 'tea time', 'sustainablelifestyle']"
17,2019-06-14 21:28:38,Thank you to all employee participants for making this drive a success.\n\n#blooddrive #oneblood #BtheChange https://t.co/ZEvgY1R8Sm,1,0,0.9459919929504395,"['success', 'blooddrive', 'oneblood', 'BtheChange', 'employee participants']"
18,2019-06-14 20:20:03,POLO by RALPH LAUREN vintage silk pocket square....#pocketsquare #ralphlauren #polo #silk #gentleman #geometric https://t.co/EDWstT7uLr,0,0,0.5,"['POLO', 'RALPH LAUREN vintage silk pocket square', 'pocketsquare', 'ralphlauren', 'gentleman']"
19,2019-06-14 19:25:02,"Cheers to the weekend !  \nNo matter what your plans, let's leave only the lightest of footprints on beautiful Mothe https://t.co/OdFWNZIwxs",0,0,0.9171772003173828,"['lightest of footprints', 'plans', 'beautiful Mothe', 'nNo matter', 'Cheers', 'weekend']"
20,2019-06-14 17:58:01,My face when I rock vegan fashion in style Only at https://t.co/47YoUN1baF\n#veenofs #vegancommunity https://t.co/kikQXYpyxl,0,0,0.7791994214057922,"['style', 'vegan fashion', 'face', 'vegancommunity']"
21,2019-06-14 11:52:33,sustainablefashion #ethicalbrand #fashionrevolution #sustainablelifestyle #ecoapparel #eco #consciousconsumer https://t.co/ohsGDkLkS2,1,0,0.7526739239692688,"['sustainablelifestyle', 'fashionrevolution', 'ecoapparel', 'ethicalbrand', 'sustainablefashion', 'consciousconsumer']"
22,2019-06-13 21:00:12,This mantra is so true! Get motivated now. Go and do your workout and you'll never regret it later.\n\n#workout https://t.co/zQ5yJU2vxS,0,0,0.9865874648094177,"['workout', 'mantra']"
23,2019-06-13 18:40:40,"SIGN UP NOW | Link in profile. Events, contests, tips &amp; more. First newsletter just went out - don't miss out!\n https://t.co/EsCrLDDBGB",0,0,0.5,"['Events', 'contests', 'tips', 'amp', 'Link', 'profile', 'newsletter']"
24,2019-06-13 17:55:59,"SIGN UP NOW | Link in profile. Events, contests, tips &amp; more. First newsletter just went out - don't miss out!\n https://t.co/tfTGaPfGeM",0,0,0.5,"['Events', 'contests', 'tips', 'amp', 'Link', 'profile', 'newsletter']"
25,2019-06-13 16:10:31,RT @ADB_HQ: Drastic shift in city lifestyles urged to avert #climatecrisis https://t.co/qy4bMvUNZr via @TRF_Stories #SustainableLifestyle h,0,1,0.5,"['HQ', 'Drastic shift', 'city lifestyles', 'TRF', 'Stories', 'climatecrisis', 'ADB', 'SustainableLifestyle h', 'RT']"
26,2019-06-13 15:30:25,Drastic shift in city lifestyles urged to avert #climatecrisis https://t.co/qy4bMvUNZr via @TRF_Stories https://t.co/enstqv80F9,0,1,0.5,"['climatecrisis', 'city lifestyles', 'Drastic shift', 'TRF', 'Stories']"
27,2019-06-13 14:35:07,Far &amp; beyond we go while completing one year of bringing Sustainables to your home !\n\nWe are delighted that we will https://t.co/TY8ndn1Qwd,0,0,0.8950340747833252,"['year', 'Sustainables', 'home', 'amp']"
28,2019-06-13 13:01:25,Drastic shift in city lifestyles urged to avert #climatecrisis https://t.co/TgmI2Ylo4Y via @TRF_Stories https://t.co/VyIGixZRyH,0,0,0.5,"['climatecrisis', 'city lifestyles', 'Drastic shift', 'TRF', 'Stories']"
29,2019-06-13 11:14:02,An interesting read from @Sunday_Post showing the rise of slow fashion and sustainability as a whole. Excited to se https://t.co/bVl7GV93ur,3,0,0.9109905958175659,"['Post', 'rise of slow fashion', 'sustainability', 'interesting read']"
30,2019-06-13 09:00:04,\n#healthcoach #coach #lifestyle #fitness #sustainablelifestyle #grownwellness #levelup #lozantonenko #courage https://t.co/YVqvjKLZTW,0,0,0.5,"['grownwellness', 'fitness', 'sustainablelifestyle', 'levelup', 'healthcoach', 'lozantonenko', 'courage']"
31,2019-06-13 05:13:21,[036] HOW TO TALK TO OUR KIDS ABOUT CLIMATE CHANGE https://t.co/ePG07Bvh8M via @makeandmendyear https://t.co/2a8xAfS3zW,0,0,0.5,"['CLIMATE CHANGE', 'KIDS', 'makeandmendyear']"
32,2019-06-12 22:01:13,Made From 100% Recycled Plastic. Grab yours at Coles https://t.co/bEORkfXOg5\n\n#Jordanaustralia #Jordantoothbrush https://t.co/7Q3MHBBgp4,0,0,0.5,"['Recycled Plastic', 'Coles', 'Jordantoothbrush']"
33,2019-06-12 16:10:19,The Fine Art of Landscaping #ItalianPlanters #Qatar #Indoor_Outdoor_Plants #LandscapeMaintenance #PlantingSeeds https://t.co/anZjDmcJRm,0,0,0.5,"['ItalianPlanters', 'Qatar', 'Plants', 'LandscapeMaintenance', 'Fine Art of Landscaping', 'PlantingSeeds']"
34,2019-06-12 00:00:12,#KireiLifestyle is about leading a #sustainableLifestyle Just how #sustainable are you?  Take @BBCEarth quiz to f https://t.co/BnP9rLPoVy,3,0,0.8175376653671265,"['sustainableLifestyle', 'BBCEarth quiz', 'KireiLifestyle']"
35,2019-06-11 20:02:32,Love Gang vegan t-shirts  Only at https://t.co/47YoUN1baF\n#veenofs #vegancommunity #veganlove #ethicallysourced https://t.co/DuKEYP4765,1,0,0.783693790435791,"['vegancommunity', 'Love Gang vegan t-shirts', 'veganlove']"
36,2019-06-11 15:45:17,"Simple grooming essentials with @BYoga BTowel, Routine Cream Johnny Cash Natural Deodorant, @audreleighbeauty exfol https://t.co/R5Och2hDGD",0,0,0.5,"['BYoga BTowel', 'Routine Cream Johnny Cash Natural Deodorant', 'audreleighbeauty exfol', 'Simple grooming essentials']"
37,2019-06-11 15:21:46,The Very Best Indoor Plants You Can Buy. \nVisit Our Website -: https://t.co/Lkz3xLxKvC\n#ItalianPlanters #Qatar https://t.co/FRCZXUVvct,0,0,0.5,"['Website', 'Best Indoor Plants', 'nVisit', 'Qatar']"
38,2019-06-11 13:41:17,"Already in 2016, Germany has launched a bicycle highway connecting 10 cities and 4 universities. The goal is to tak https://t.co/3Xop8Xcadk",1,0,0.5,"['bicycle highway', 'cities', 'Germany', 'universities', 'goal', 'tak']"
39,2019-06-11 11:14:02,Chester is going to be having their first ever sustainable fair in Grosvenor Park! It is amazing to see education o https://t.co/ka4aklWaBt,1,0,0.8425865769386292,"['sustainable fair', 'Grosvenor Park', 'education o', 'Chester']"
40,2019-06-10 21:01:21,Are you skinny fat?  You could be skinny but have high fat levels and the same medical issues as an obese person. https://t.co/St6Ox3TIaz,0,0,0.7758905291557312,"['skinny fat', 'high fat levels', 'medical issues', 'obese person']"
41,2019-06-10 09:00:06,Create your own natural fragrance!  Smell great and feel great using only natural oils. Try this luscious lavende https://t.co/LredR8DBte,0,0,0.9767846465110779,"['natural oils', 'natural fragrance', 'luscious lavende']"
42,2019-06-09 22:00:42,Grab yours today at Coles https://t.co/0IwAgODir9\n\n#Jordanaustralia #Jordantoothbrush #JordanSoMe https://t.co/LymPvuEV2I,1,0,0.5,"['Coles', 'Jordantoothbrush', 'JordanSoMe']"
43,2019-06-09 19:08:12,Add these vegan heels  to your shoe collection. Made from microsuede and faux vegan leather  Only at https://t.co/FXYibUaxMt,0,0,0.8066112399101257,"['vegan heels', 'faux vegan leather', 'shoe collection', 'microsuede']"
44,2019-06-09 11:58:50,"RT @BJPSanjayJoshi:               ,    #WorldEnvironmentDay #environm",0,35,0.5,"['BJPSanjayJoshi', 'WorldEnvironmentDay', 'RT']"
45,2019-06-09 10:31:18,"https://t.co/Ya7i0H4LwN - On #menthealth, #sustainablelifestyle, and #socialmedia.\n\nThanks for the recommendation https://t.co/SveWYYAtMz",2,1,0.8777598142623901,"['sustainablelifestyle', 'socialmedia', 'menthealth', 'recommendation']"
46,2019-06-09 06:42:31,' Put Your Landscape Maintenance in the Hands of Someone Who Really Cares'.\n#ItalianPlanters #Qatar https://t.co/VFHfqmoNSi,0,0,0.5,"['Landscape Maintenance', 'Hands', 'ItalianPlanters', 'Qatar']"
47,2019-06-08 23:55:05,How perfect is this vintage inspired planter??  I was feeling inspired to make use of older items we have around t https://t.co/TnQcSMcXsE,1,0,0.9676579833030701,"['vintage inspired planter', 'use of older items']"
